incident_main,incident_sub,incident_subsub,count
ASSAULT, OTHER,INSIDE,34797
ASSAULT, OTHER,FAMILY,29939
ASSAULT, OTHER,OUTSIDE,27126
ASSAULT, WEAPON,OUTSIDE,4488
ASSAULT, WEAPON,INSIDE,4356
ASSAULT, KNIFE,INSIDE,3852
ASSAULT, KNIFE,OUTSIDE,3364
ASSAULT, OTHER,TRANSIT,3044
ASSAULT, WEAPON,FAMILY,2326
ASSAULT, OTHER,CHILD ABUSE,2059
ASSAULT, KNIFE,FAMILY,1644
ASSAULT, OTHER,SCHOOL,1589
ASSAULT, SHOTS,OUTSIDE,1486
ASSAULT, SHOTS,INSIDE,1280
ASSAULT, KNIFE,TRANSIT,273
ASSAULT, WEAPON,TRANSIT,248
ASSAULT, WEAPON,CHILD,130
ASSAULT, OTHER,LTD ACC HWY,128
ASSAULT, WEAPON,SCHOOL,107
ASSAULT, SHOTS,FAMILY,101
ASSAULT, KNIFE,SCHOOL,64
ASSAULT, SHOTS,TRANSIT,52
ASSAULT, WEAPON,CHILD ABUSE,48
ASSAULT, WEAPON,LTD ACC HWY,18
ASSAULT, SHOTS,SCHOOL,16
ASSAULT, KNIFE,CHILD ABUSE,14
ASSAULT, KNIFE,LTD ACC HWY,8
ASSAULT, SHOTS,CHILD,5
ASSAULT, SHOTS,LTD ACC HWY,4
ASSAULT, SHOTS,CHILD ABUSE,1
BURGLARY, OTHER,SCHOOL,75
BURGLARY, OTHER,TRANSIT,15
BURGLARY, COMMERCIAL,TRANSIT,7
BURGLARY, OTHER,LTD ACC HWY,2
DISORDERLY, PERSON,INSIDE,44819
DISORDERLY, PERSON,TRANSIT,28026
DISORDERLY, PERSON,OUTSIDE,25095
DISORDERLY, GROUP,OUTSIDE,18748
DISORDERLY, GROUP,INSIDE,14791
DISORDERLY, GROUP,TRANSIT,3927
DISORDERLY, PERSON,SCHOOL,233
DISORDERLY, PERSON,LTD ACC HWY,226
DISORDERLY, GROUP,SCHOOL,104
DISORDERLY, GROUP,LTD ACC HWY,45
DISORDERLY, NOISE,INSIDE,7
DISORDERLY, NOISE,OUTSIDE,5
DISORDERLY, NOISE,TRANSIT,2
DISORDERLY, NOISE,LTD ACC HWY,1
LARCENY, OTHER,INSIDE,107215
LARCENY, OTHER,OUTSIDE,51706
LARCENY, VEHICLE,OUTSIDE,31902
LARCENY, VEHICLE,INSIDE,6536
LARCENY, FROM PERSON,OUTSIDE,2910
LARCENY, FROM PERSON,INSIDE,2501
LARCENY, OTHER,TRANSIT,1367
LARCENY, FROM PERSON,TRANSIT,401
LARCENY, OTHER,SCHOOL,315
LARCENY, VEHICLE,LTD ACC HWY,51
LARCENY, OTHER,LTD ACC HWY,25
LARCENY, FROM PERSON,SCHOOL,17
LARCENY, VEHICLE,SCHOOL,7
LARCENY, VEHICLE,TRANSIT,4
LARCENY, FROM PERSON,LTD ACC HWY,3
OTHER CRIMES, HARASSMENT,INSIDE,99609
OTHER CRIMES, HARASSMENT,OUTSIDE,52359
OTHER CRIMES, OTHER,TRANSIT,32571
OTHER CRIMES, TRESPASS,INSIDE,24406
OTHER CRIMES, OTHER,INSIDE,19367
OTHER CRIMES, VIOL ORDER PROTECT,FAMILY,9508
OTHER CRIMES, CRIM MISCHIEF,INSIDE,7258
OTHER CRIMES, HARASSMENT,TRANSIT,6944
OTHER CRIMES, CRIM MISCHIEF,OUTSIDE,6698
OTHER CRIMES, OTHER,OUTSIDE,6254
OTHER CRIMES, TRESPASS,OUTSIDE,4321
OTHER CRIMES, VIOL ORDER PROTECT,INSIDE,3683
OTHER CRIMES, HARASSMENT,SCHOOL,1999
OTHER CRIMES, VIOL ORDER PROTECT,OUTSIDE,1149
OTHER CRIMES, CRIM MISCHIEF,TRANSIT,806
OTHER CRIMES, HARASSMENT,LTD ACC HWY,257
OTHER CRIMES, FAREBEAT,TRESPASS,239
OTHER CRIMES, TRESPASS,TRANSIT,183
OTHER CRIMES, TRESPASS,SCHOOL,132
OTHER CRIMES, GRAFF VANDALISM,TRANSIT,106
OTHER CRIMES, OTHER,SCHOOL,97
OTHER CRIMES, CRIM MISCHIEF,LTD ACC HWY,61
OTHER CRIMES, VIOL ORDER PROTECT,SCHOOL,40
OTHER CRIMES, OTHER,LTD ACC HWY,32
OTHER CRIMES, CRIM MISCHIEF,SCHOOL,23
OTHER CRIMES, VIOL ORDER PROTECT,TRANSIT,16
OTHER CRIMES, GRAFF VANDALISM,LTD ACC HWY,6
OTHER CRIMES, VIOL ORDER PROTECT,LTD ACC HWY,3
OTHER CRIMES, TRESPASS,LTD ACC HWY,1
OTHER-CRIME INCIDENT, MARIJUANA,INSIDE,23
OTHER-CRIME INCIDENT, MARIJUANA,OUTSIDE,4
OTHER-CRIME INCIDENT, MARIJUANA,TRANSIT,1
ROBBERY, OTHER,OUTSIDE,9708
ROBBERY, OTHER,INSIDE,5801
ROBBERY, OTHER,TRANSIT,907
ROBBERY, OTHER,SCHOOL,126
ROBBERY, OTHER,LTD ACC HWY,24
ROBBERY, COMMERCIAL,LTD ACC HWY,1
ROBBERY, COMMERCIAL,TRANSIT,1
