interval,date,boro_nm,category,call_count
daily,2024-01-01,Bronx,Confirmed Crime,416
daily,2024-01-01,Bronx,Potential Crime,521
daily,2024-01-01,Brooklyn,Confirmed Crime,539
daily,2024-01-01,Brooklyn,Potential Crime,715
daily,2024-01-01,Manhattan,Confirmed Crime,527
daily,2024-01-01,Manhattan,Potential Crime,644
daily,2024-01-01,Queens,Confirmed Crime,484
daily,2024-01-01,Queens,Potential Crime,645
daily,2024-01-01,Staten Island,Confirmed Crime,62
daily,2024-01-01,Staten Island,Potential Crime,124
daily,2024-01-02,Bronx,Confirmed Crime,445
daily,2024-01-02,Bronx,Potential Crime,531
daily,2024-01-02,Brooklyn,Confirmed Crime,563
daily,2024-01-02,Brooklyn,Potential Crime,824
daily,2024-01-02,Manhattan,Confirmed Crime,490
daily,2024-01-02,Manhattan,Potential Crime,755
daily,2024-01-02,Queens,Confirmed Crime,468
daily,2024-01-02,Queens,Potential Crime,585
daily,2024-01-02,Staten Island,Confirmed Crime,50
daily,2024-01-02,Staten Island,Potential Crime,116
daily,2024-01-03,Bronx,Confirmed Crime,429
daily,2024-01-03,Bronx,Potential Crime,539
daily,2024-01-03,Brooklyn,Confirmed Crime,512
daily,2024-01-03,Brooklyn,Potential Crime,819
daily,2024-01-03,Manhattan,Confirmed Crime,526
daily,2024-01-03,Manhattan,Potential Crime,735
daily,2024-01-03,Queens,Confirmed Crime,458
daily,2024-01-03,Queens,Potential Crime,629
daily,2024-01-03,Staten Island,Confirmed Crime,60
daily,2024-01-03,Staten Island,Potential Crime,133
daily,2024-01-04,Bronx,Confirmed Crime,462
daily,2024-01-04,Bronx,Potential Crime,569
daily,2024-01-04,Brooklyn,Confirmed Crime,637
daily,2024-01-04,Brooklyn,Potential Crime,923
daily,2024-01-04,Manhattan,Confirmed Crime,545
daily,2024-01-04,Manhattan,Potential Crime,768
daily,2024-01-04,Queens,Confirmed Crime,424
daily,2024-01-04,Queens,Potential Crime,683
daily,2024-01-04,Staten Island,Confirmed Crime,77
daily,2024-01-04,Staten Island,Potential Crime,146
daily,2024-01-05,Bronx,Confirmed Crime,452
daily,2024-01-05,Bronx,Potential Crime,626
daily,2024-01-05,Brooklyn,Confirmed Crime,600
daily,2024-01-05,Brooklyn,Potential Crime,913
daily,2024-01-05,Manhattan,Confirmed Crime,483
daily,2024-01-05,Manhattan,Potential Crime,826
daily,2024-01-05,Queens,Confirmed Crime,450
daily,2024-01-05,Queens,Potential Crime,671
daily,2024-01-05,Staten Island,Confirmed Crime,61
daily,2024-01-05,Staten Island,Potential Crime,162
daily,2024-01-06,Bronx,Confirmed Crime,435
daily,2024-01-06,Bronx,Potential Crime,616
daily,2024-01-06,Brooklyn,Confirmed Crime,560
daily,2024-01-06,Brooklyn,Potential Crime,870
daily,2024-01-06,Manhattan,Confirmed Crime,514
daily,2024-01-06,Manhattan,Potential Crime,701
daily,2024-01-06,Queens,Confirmed Crime,442
daily,2024-01-06,Queens,Potential Crime,611
daily,2024-01-06,Staten Island,Confirmed Crime,60
daily,2024-01-06,Staten Island,Potential Crime,101
daily,2024-01-07,Bronx,Confirmed Crime,373
daily,2024-01-07,Bronx,Potential Crime,589
