category,incident_month,boro_nm,call_count
Confirmed Crime,2024-01,Bronx,13984
Confirmed Crime,2024-01,Brooklyn,17671
Confirmed Crime,2024-01,Manhattan,16272
Confirmed Crime,2024-01,Queens,13899
Confirmed Crime,2024-01,Staten Island,1751
Confirmed Crime,2024-02,Bronx,13368
Confirmed Crime,2024-02,Brooklyn,17327
Confirmed Crime,2024-02,Manhattan,15516
Confirmed Crime,2024-02,Queens,13734
Confirmed Crime,2024-02,Staten Island,1900
Confirmed Crime,2024-03,Bronx,14432
Confirmed Crime,2024-03,Brooklyn,18738
Confirmed Crime,2024-03,Manhattan,17141
Confirmed Crime,2024-03,Queens,14633
Confirmed Crime,2024-03,Staten Island,2039
Confirmed Crime,2024-04,Bronx,14170
Confirmed Crime,2024-04,Brooklyn,18210
Confirmed Crime,2024-04,Manhattan,16528
Confirmed Crime,2024-04,Queens,14078
Confirmed Crime,2024-04,Staten Island,1908
Confirmed Crime,2024-05,Bronx,15260
Confirmed Crime,2024-05,Brooklyn,19918
Confirmed Crime,2024-05,Manhattan,17964
Confirmed Crime,2024-05,Queens,15830
Confirmed Crime,2024-05,Staten Island,2215
Confirmed Crime,2024-06,Bronx,15034
Confirmed Crime,2024-06,Brooklyn,19447
Confirmed Crime,2024-06,Manhattan,17403
Confirmed Crime,2024-06,Queens,16115
Confirmed Crime,2024-06,Staten Island,2322
Confirmed Crime,2024-07,Bronx,15623
Confirmed Crime,2024-07,Brooklyn,19809
Confirmed Crime,2024-07,Manhattan,17859
Confirmed Crime,2024-07,Queens,16582
Confirmed Crime,2024-07,Staten Island,2317
Confirmed Crime,2024-08,Bronx,15163
Confirmed Crime,2024-08,Brooklyn,19511
Confirmed Crime,2024-08,Manhattan,17845
Confirmed Crime,2024-08,Queens,15616
Confirmed Crime,2024-08,Staten Island,2180
Confirmed Crime,2024-09,Bronx,14998
Confirmed Crime,2024-09,Brooklyn,19207
Confirmed Crime,2024-09,Manhattan,17988
Confirmed Crime,2024-09,Queens,15168
Confirmed Crime,2024-09,Staten Island,2246
Confirmed Crime,2024-10,Bronx,15912
Confirmed Crime,2024-10,Brooklyn,20318
Confirmed Crime,2024-10,Manhattan,18502
Confirmed Crime,2024-10,Queens,15459
Confirmed Crime,2024-10,Staten Island,2285
Confirmed Crime,2024-11,Bronx,15344
Confirmed Crime,2024-11,Brooklyn,18965
Confirmed Crime,2024-11,Manhattan,17409
Confirmed Crime,2024-11,Queens,14263
Confirmed Crime,2024-11,Staten Island,2056
Confirmed Crime,2024-12,Bronx,14579
Confirmed Crime,2024-12,Brooklyn,17924
Confirmed Crime,2024-12,Manhattan,16588
Confirmed Crime,2024-12,Queens,13507
Confirmed Crime,2024-12,Staten Island,1836
Potential Crime,2024-01,Bronx,18427
Potential Crime,2024-01,Brooklyn,27777
Potential Crime,2024-01,Manhattan,22229
Potential Crime,2024-01,Queens,21038
Potential Crime,2024-01,Staten Island,4014
Potential Crime,2024-02,Bronx,17866
Potential Crime,2024-02,Brooklyn,26921
Potential Crime,2024-02,Manhattan,21123
Potential Crime,2024-02,Queens,20491
Potential Crime,2024-02,Staten Island,3839
Potential Crime,2024-03,Bronx,18335
Potential Crime,2024-03,Brooklyn,28232
Potential Crime,2024-03,Manhattan,22449
Potential Crime,2024-03,Queens,21417
Potential Crime,2024-03,Staten Island,3944
Potential Crime,2024-04,Bronx,16879
Potential Crime,2024-04,Brooklyn,26581
Potential Crime,2024-04,Manhattan,21558
Potential Crime,2024-04,Queens,19993
Potential Crime,2024-04,Staten Island,3613
Potential Crime,2024-05,Bronx,17484
Potential Crime,2024-05,Brooklyn,28799
Potential Crime,2024-05,Manhattan,21910
Potential Crime,2024-05,Queens,21633
Potential Crime,2024-05,Staten Island,3840
Potential Crime,2024-06,Bronx,17006
Potential Crime,2024-06,Brooklyn,29501
Potential Crime,2024-06,Manhattan,21501
Potential Crime,2024-06,Queens,22309
Potential Crime,2024-06,Staten Island,3861
Potential Crime,2024-07,Bronx,17386
Potential Crime,2024-07,Brooklyn,30013
Potential Crime,2024-07,Manhattan,22476
Potential Crime,2024-07,Queens,22564
Potential Crime,2024-07,Staten Island,3987
Potential Crime,2024-08,Bronx,17819
Potential Crime,2024-08,Brooklyn,30042
Potential Crime,2024-08,Manhattan,22217
Potential Crime,2024-08,Queens,22304
Potential Crime,2024-08,Staten Island,3914
Potential Crime,2024-09,Bronx,17383
Potential Crime,2024-09,Brooklyn,27566
Potential Crime,2024-09,Manhattan,20689
Potential Crime,2024-09,Queens,20522
Potential Crime,2024-09,Staten Island,3582
Potential Crime,2024-10,Bronx,18620
Potential Crime,2024-10,Brooklyn,28875
Potential Crime,2024-10,Manhattan,22517
Potential Crime,2024-10,Queens,21745
Potential Crime,2024-10,Staten Island,3672
Potential Crime,2024-11,Bronx,18327
Potential Crime,2024-11,Brooklyn,27921
Potential Crime,2024-11,Manhattan,22595
Potential Crime,2024-11,Queens,21236
Potential Crime,2024-11,Staten Island,3692
Potential Crime,2024-12,Bronx,17894
Potential Crime,2024-12,Brooklyn,26948
Potential Crime,2024-12,Manhattan,21678
Potential Crime,2024-12,Queens,21130
Potential Crime,2024-12,Staten Island,3701
