category,nypd_pct_cd,boro_nm,call_count
Confirmed Crime,75,Brooklyn,21753
Confirmed Crime,40,Bronx,21440
Confirmed Crime,52,Bronx,20071
Confirmed Crime,44,Bronx,19949
Confirmed Crime,14,Manhattan,18727
Confirmed Crime,46,Bronx,18398
Confirmed Crime,114,Queens,17567
Confirmed Crime,47,Bronx,17457
Confirmed Crime,109,Queens,16959
Confirmed Crime,115,Queens,16613
Confirmed Crime,43,Bronx,16312
Confirmed Crime,73,Brooklyn,15309
Confirmed Crime,18,Manhattan,15116
Confirmed Crime,110,Queens,15103
Confirmed Crime,13,Manhattan,14964
Confirmed Crime,103,Queens,14796
Confirmed Crime,48,Bronx,14397
Confirmed Crime,67,Brooklyn,14254
Confirmed Crime,1,Manhattan,14095
Confirmed Crime,42,Bronx,13685
Confirmed Crime,19,Manhattan,13160
Confirmed Crime,60,Brooklyn,12793
Confirmed Crime,70,Brooklyn,12747
Confirmed Crime,108,Queens,12339
Confirmed Crime,83,Brooklyn,12141
Confirmed Crime,84,Brooklyn,11859
Confirmed Crime,79,Brooklyn,11537
Confirmed Crime,49,Bronx,10940
Confirmed Crime,105,Queens,10917
Confirmed Crime,102,Queens,10845
Confirmed Crime,106,Queens,10822
Confirmed Crime,32,Manhattan,10735
Confirmed Crime,6,Manhattan,10728
Confirmed Crime,104,Queens,10445
Confirmed Crime,120,Staten Island,10198
Confirmed Crime,9,Manhattan,9979
Confirmed Crime,107,Queens,9785
Confirmed Crime,34,Manhattan,9677
Confirmed Crime,90,Brooklyn,9516
Confirmed Crime,28,Manhattan,9483
Confirmed Crime,41,Bronx,9474
Confirmed Crime,61,Brooklyn,9463
Confirmed Crime,113,Queens,9177
Confirmed Crime,77,Brooklyn,9164
Confirmed Crime,25,Manhattan,8952
Confirmed Crime,62,Brooklyn,8727
Confirmed Crime,72,Brooklyn,8587
Confirmed Crime,71,Brooklyn,8545
Confirmed Crime,23,Manhattan,8508
Confirmed Crime,24,Manhattan,8380
Confirmed Crime,45,Bronx,8242
Confirmed Crime,5,Manhattan,8232
Confirmed Crime,10,Manhattan,8210
Confirmed Crime,81,Brooklyn,8099
Confirmed Crime,66,Brooklyn,7849
Confirmed Crime,68,Brooklyn,7806
Confirmed Crime,112,Queens,7805
Confirmed Crime,50,Bronx,7502
Confirmed Crime,101,Queens,7257
Confirmed Crime,78,Brooklyn,7056
Confirmed Crime,33,Manhattan,7039
Confirmed Crime,121,Staten Island,6973
Confirmed Crime,88,Brooklyn,6948
Confirmed Crime,63,Brooklyn,6882
Confirmed Crime,7,Manhattan,6872
Confirmed Crime,20,Manhattan,6575
Confirmed Crime,94,Brooklyn,6540
Confirmed Crime,30,Manhattan,6243
Confirmed Crime,17,Manhattan,6173
Confirmed Crime,69,Brooklyn,6170
Confirmed Crime,122,Staten Island,5579
Confirmed Crime,26,Manhattan,4693
Confirmed Crime,100,Queens,4258
Confirmed Crime,111,Queens,4025
Confirmed Crime,76,Brooklyn,3300
Confirmed Crime,123,Staten Island,2305
Confirmed Crime,22,Manhattan,474
Confirmed Crime,116,Queens,171
Confirmed Crime,0,(Null),1
Potential Crime,75,Brooklyn,28784
Potential Crime,114,Queens,26498
Potential Crime,67,Brooklyn,25949
Potential Crime,44,Bronx,25638
Potential Crime,73,Brooklyn,25060
Potential Crime,40,Bronx,24261
Potential Crime,52,Bronx,23507
Potential Crime,109,Queens,22143
Potential Crime,115,Queens,22109
Potential Crime,14,Manhattan,21803
Potential Crime,47,Bronx,21588
Potential Crime,43,Bronx,20714
Potential Crime,46,Bronx,20671
Potential Crime,110,Queens,19870
Potential Crime,18,Manhattan,19459
Potential Crime,103,Queens,18272
Potential Crime,79,Brooklyn,18111
Potential Crime,105,Queens,18008
Potential Crime,120,Staten Island,17866
Potential Crime,32,Manhattan,17417
Potential Crime,34,Manhattan,17003
Potential Crime,48,Bronx,16790
Potential Crime,70,Brooklyn,16535
Potential Crime,108,Queens,16166
Potential Crime,83,Brooklyn,16164
Potential Crime,19,Manhattan,16025
Potential Crime,23,Manhattan,15696
Potential Crime,13,Manhattan,15574
Potential Crime,104,Queens,15547
Potential Crime,1,Manhattan,15282
Potential Crime,61,Brooklyn,15139
Potential Crime,113,Queens,15128
Potential Crime,77,Brooklyn,14994
Potential Crime,102,Queens,14937
Potential Crime,60,Brooklyn,14849
Potential Crime,106,Queens,14838
Potential Crime,42,Bronx,14752
Potential Crime,84,Brooklyn,14683
Potential Crime,90,Brooklyn,14279
Potential Crime,25,Manhattan,14023
Potential Crime,107,Queens,14003
Potential Crime,72,Brooklyn,13780
Potential Crime,62,Brooklyn,13430
Potential Crime,71,Brooklyn,13202
Potential Crime,81,Brooklyn,12920
Potential Crime,69,Brooklyn,12815
Potential Crime,66,Brooklyn,12417
Potential Crime,49,Bronx,12166
Potential Crime,45,Bronx,12001
Potential Crime,101,Queens,11952
Potential Crime,63,Brooklyn,11693
Potential Crime,41,Bronx,11389
Potential Crime,121,Staten Island,11142
Potential Crime,9,Manhattan,10947
Potential Crime,122,Staten Island,10900
Potential Crime,68,Brooklyn,10747
Potential Crime,88,Brooklyn,10567
Potential Crime,112,Queens,10427
Potential Crime,28,Manhattan,10397
Potential Crime,24,Manhattan,10035
Potential Crime,50,Bronx,9949
Potential Crime,6,Manhattan,9905
Potential Crime,30,Manhattan,9783
Potential Crime,111,Queens,9346
Potential Crime,33,Manhattan,9177
Potential Crime,7,Manhattan,9024
Potential Crime,78,Brooklyn,8904
Potential Crime,26,Manhattan,8597
Potential Crime,5,Manhattan,8554
Potential Crime,10,Manhattan,8049
Potential Crime,20,Manhattan,7578
Potential Crime,94,Brooklyn,7460
Potential Crime,17,Manhattan,7088
Potential Crime,76,Brooklyn,6694
Potential Crime,100,Queens,6517
Potential Crime,123,Staten Island,5751
Potential Crime,22,Manhattan,1526
Potential Crime,116,Queens,621
Potential Crime,0,(Null),6
