typ_desc,incident_date,count
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-02-23T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-05-20T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-05-27T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-07-22T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-07-27T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-09-13T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-09-29T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-10-29T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-12-09T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-12-20T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/CHILD ABUSE,2024-12-27T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-01T00:00:00.000,7
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-02T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-03T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-04T00:00:00.000,7
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-05T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-06T00:00:00.000,7
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-07T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-08T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-09T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-10T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-11T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-12T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-13T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-14T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-15T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-16T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-17T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-19T00:00:00.000,7
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-20T00:00:00.000,10
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-21T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-22T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-23T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-24T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-25T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-26T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-27T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-28T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-29T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-01-30T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-01T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-02T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-03T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-04T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-05T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-06T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-07T00:00:00.000,1
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-08T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-09T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-10T00:00:00.000,8
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-11T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-12T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-13T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-14T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-15T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-16T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-17T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-18T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-19T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-20T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-21T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-22T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-23T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-24T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-25T00:00:00.000,10
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-26T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-27T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-28T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-02-29T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-01T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-02T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-03T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-05T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-07T00:00:00.000,2
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-08T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-09T00:00:00.000,10
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-10T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-11T00:00:00.000,6
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-12T00:00:00.000,3
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-13T00:00:00.000,4
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-14T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-15T00:00:00.000,5
ASSAULT (IN PROGRESS): KNIFE/FAMILY,2024-03-16T00:00:00.000,1
